"Paul Broad Jumps from Force Plate #2 to Force Plate #4, starting from rest.",,,,,,,,(X/Y/Z),C:\Program Files\Motion Analysis\EVaRT40\Physics\10-16-03\Paulbroadjump3.trc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Rate,Camera Rate,,,,,,,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,,,,,,259,25,mm,60,1,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TopHead,,,R.Head,,,L.Head,,,R.Shoulder,,,Offset,,,L.Shoulder,,,R.Elbow,,,R.Wrist,,,L.Elbow,,,L.Wrist,,,R.ASIS,,,V.Sacral,,,L.ASIS,,,R.Thigh,,,R.Knee,,,R.Shank,,,R.Ankle,,,R.Heel,,,R.Toe,,,L.Thigh,,,L.Knee,,,L.Shank,,,L.Ankle,,,L.Heel,,,L.Toe,,
,Average over 20 time intervals,,,,,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25
Time(s),FX2,FY2,FZ2,FX4,FY4,FZ4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-9,-0.3,922.5,-0.4,-0.2,3.8,-1031,-242,1992,-1029,-341,1893,-1028,-145,1890,-1101,-429,1657,-1218,-119,1630,-1111,-29,1674,-1125,-514,1291,-991,-510,1012,-1102,54,1304,-954,35,1043,-1013,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-524,753,-1130,-424,571,-1150,-501,387,-1172,-418,115,-1258,-367,79,-993,-370,69,-1101,70,754,-1133,-37,592,-1160,41,396,-1193,-40,114,-1273,-113,67,-1004,-81,71
0.017,-9.2,-0.4,921.4,-0.4,-0.3,3.6,-1031,-242,1992,-1029,-341,1893,-1028,-145,1890,-1101,-429,1656,-1218,-119,1630,-1111,-29,1674,-1125,-514,1291,-991,-510,1012,-1102,54,1304,-953,36,1043,-1013,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-524,753,-1130,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1133,-37,592,-1160,41,396,-1193,-41,114,-1273,-113,67,-1004,-81,71
0.033,-9.5,-0.8,920.3,-0.4,-0.3,3.8,-1031,-242,1992,-1029,-341,1893,-1029,-145,1890,-1101,-429,1656,-1218,-119,1630,-1111,-29,1674,-1125,-514,1291,-990,-510,1012,-1102,54,1304,-952,36,1044,-1013,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-524,753,-1130,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1133,-37,592,-1160,41,396,-1193,-41,114,-1273,-113,67,-1004,-80,71
0.05,-9.5,-1.2,920.9,-0.4,-0.3,3.7,-1032,-242,1992,-1029,-341,1893,-1029,-145,1890,-1101,-429,1656,-1218,-119,1630,-1112,-29,1674,-1125,-514,1291,-990,-510,1013,-1102,54,1304,-952,36,1044,-1013,-376,1131,-1237,-243,1161,-1012,-89,1130,-1120,-524,753,-1130,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1133,-36,592,-1160,41,396,-1193,-41,114,-1273,-113,67,-1004,-80,70
0.067,-9.5,-1.2,922.7,-0.3,-0.3,3.7,-1032,-242,1991,-1030,-341,1893,-1029,-145,1890,-1101,-429,1656,-1218,-119,1630,-1112,-29,1674,-1125,-514,1291,-990,-510,1013,-1102,54,1304,-951,36,1044,-1013,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-524,753,-1129,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1133,-36,592,-1160,41,396,-1193,-41,114,-1273,-113,67,-1004,-80,70
0.083,-9.5,-1.2,924.8,-0.4,-0.3,3.8,-1032,-241,1991,-1030,-341,1893,-1029,-145,1890,-1101,-429,1656,-1218,-119,1630,-1112,-29,1674,-1125,-514,1291,-989,-510,1013,-1102,54,1304,-950,36,1044,-1013,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-524,753,-1129,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1133,-36,592,-1160,41,396,-1193,-41,114,-1273,-113,67,-1004,-80,70
0.1,-9.6,-1.3,926,-0.4,-0.3,3.8,-1032,-241,1991,-1030,-341,1893,-1030,-145,1890,-1101,-429,1656,-1218,-119,1630,-1112,-29,1674,-1125,-514,1291,-988,-510,1013,-1102,54,1304,-950,35,1044,-1012,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-524,753,-1129,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1132,-36,592,-1159,41,396,-1193,-41,114,-1273,-113,67,-1004,-80,70
0.117,-10.1,-1.1,925.6,-0.4,-0.3,3.6,-1033,-241,1991,-1030,-341,1893,-1030,-144,1890,-1101,-428,1656,-1219,-119,1630,-1112,-29,1674,-1124,-514,1291,-987,-510,1014,-1101,54,1304,-949,35,1045,-1012,-376,1131,-1237,-243,1161,-1013,-89,1130,-1120,-523,753,-1129,-424,571,-1149,-501,387,-1172,-418,115,-1258,-367,78,-993,-370,69,-1101,70,754,-1132,-36,592,-1159,41,396,-1193,-41,114,-1273,-113,67,-1004,-80,70
