Date,Open,High,Low,Close,Volume,Adj Close
20161202,19161.25,19196.140625,19141.179688,19170.419922,84920000,19170.419922
20161201,19149.199219,19214.300781,19138.789062,19191.929688,108800000,19191.929688
20161130,19135.640625,19225.289062,19123.380859,19123.580078,164570000,19123.580078
20161129,19064.070312,19144.400391,19062.220703,19121.599609,81510000,19121.599609
20161128,19122.140625,19138.720703,19072.25,19097.900391,88460000,19097.900391
20161125,19093.720703,19152.140625,19093.720703,19152.140625,45890000,19152.140625
20161123,19015.519531,19083.759766,19000.380859,19083.179688,77880000,19083.179688
20161122,18970.390625,19043.900391,18962.820312,19023.869141,85310000,19023.869141
20161121,18898.679688,18960.759766,18883.099609,18956.689453,80520000,18956.689453
20161118,18905.330078,18915.740234,18853.830078,18867.929688,109880000,18867.929688
20161117,18866.220703,18904.029297,18845.269531,18903.820312,89940000,18903.820312
20161116,18909.849609,18909.849609,18825.890625,18868.140625,87320000,18868.140625
20161115,18858.210938,18925.259766,18806.060547,18923.060547,100660000,18923.060547
20161114,18876.769531,18934.050781,18815.75,18868.689453,112250000,18868.689453
20161111,18781.650391,18855.779297,18736.960938,18847.660156,107300000,18847.660156
20161110,18603.140625,18873.660156,18603.140625,18807.880859,164390000,18807.880859
20161109,18317.259766,18650.060547,18252.550781,18589.689453,173110000,18589.689453
20161108,18251.380859,18400.50,18200.75,18332.740234,79820000,18332.740234
20161107,17994.640625,18263.300781,17994.640625,18259.599609,93450000,18259.599609
