B-V		Air Mass	Error in B-V
-0.68773	1.069779689	0.02127
-0.66251	1.085951995	0.02049
-0.68676	1.103783395	0.02124
-0.64408	1.122978155	0.01992
-0.69064	1.143946938	0.02136
-0.6693		1.167184591	0.0207
-0.6984		1.193362238	0.0216
-0.66251	1.221107659	0.02049
-0.69646	1.258365357	0.02154
-0.70616	1.292117541	0.02184
-0.69646	1.329588968	0.02154
-0.71877	1.371317107	0.02223
-0.74496	1.417020321	0.02304
-0.72556	1.46771265	0.02244
-0.74011	1.533151333	0.02289
-0.75563	1.59526952	0.02337
-0.74302	1.671084927	0.02298
-0.78667	1.739347736	0.02433
-0.77503	1.829554195	0.02397
-0.83226	1.936672126	0.02574
-0.70616	2.042251448	0.02184
-0.83129	2.164263002	0.02571
