Time      Position  Velocity  Acceleration
   17.00    1.35    0.00    0.00
   16.92    1.20    1.85    0.00
   16.82    1.05    1.63    2.38
   16.72    0.91    1.31    2.99
   16.60    0.81    0.92    3.34
   16.49    0.76    0.40    4.64
   16.39    0.78   -0.25    6.74
   16.32    0.86   -0.98    9.54
   16.25    0.97   -1.72   11.65
   16.21    1.09   -2.56   18.35
   16.18    1.19   -4.19   63.29
   16.17    1.30  -12.91 1024.95
   16.16    1.44   -8.98 -250.00
   16.09    1.65   -3.05  -88.75
   15.92    1.92   -1.58   -8.64
   15.58    2.17   -0.74   -2.44
   14.96    2.23   -0.10   -1.03
   13.95    1.96    0.27   -0.37
   12.49    1.36    0.41   -0.09
   10.72    0.64    0.41    0.00
    8.93    0.03    0.34    0.04
    7.39    0.32   -0.19    0.34
    6.18    0.43   -0.10   -0.07
    5.22    0.47   -0.04   -0.06
    4.33    0.58   -0.11    0.08
    3.45    0.79   -0.24    0.15
    2.68    1.09   -0.39    0.20
    2.12    1.45   -0.63    0.43
    1.81    1.81   -1.15    1.65
